rank,title,studio,release,index,gross
169,Alienoid,Well Go USA Entertainment,Aug 26,336,"$161,611"
170,Resurrection,IFC Films,Jul 29,338,"$160,581"
171,CatVideoFest 2022,Oscilloscope,Jun 24,340,"$152,286"
172,The French Dispatch,Searchlight Pictures,Oct 22,342,"$147,605"
173,Firebird,Roadside Attractions,Apr 29,344,"$144,118"
174,The Witch: Part 2 - The Other One,Well Go USA Entertainment,Jun 17,346,"$143,723"
175,The Velvet Queen,Oscilloscope,Dec 22,348,"$141,491"
176,The Killer,Wide Lens Pictures,Jul 13,350,"$134,716"
177,Gabby Giffords Won't Back Down,Briarcliff Entertainment,Jul 15,352,"$134,098"
178,Gamestop: Rise of the Players,Super LTD,Jan 28,354,"$126,297"
179,Lost Illusions,Music Box Films,Jun 10,356,"$125,106"
180,No Time to Die,Metro-Goldwyn-Mayer (MGM),Oct 8,358,"$119,000"
181,The Rose Maker,Music Box Films,Apr 1,360,"$118,632"
182,Water Gate Bridge,CMC Pictures,Feb 11,362,"$117,294"
183,Hit the Road,Kino Lorber,Apr 22,364,"$115,947"
184,Butter,Blue Fox Entertainment,Feb 25,366,"$114,036"
185,Green Ghost and the Masters of the Stone,Gravitas Ventures,Apr 29,368,"$113,687"
186,The Conversation,Rialto Distribution,Jan 14,370,"$108,476"
187,Jockey,Sony Pictures Classics,Dec 29,372,"$106,882"
188,Pleasure,,May 13,374,"$106,789"
189,Fourth of July,Circus King Productions,Jul 1,376,"$106,070"
190,I Love My Dad,Magnolia Pictures,Aug 5,378,"$101,508"
191,Gold,Screen Media Films,Mar 11,380,"$100,197"
192,"My Donkey, My Lover & I",Greenwich Entertainment,Jul 22,382,"$98,398"
193,Strawberry Mansion,Music Box Films,Feb 18,384,"$97,526"
194,Abandoned,Vertical Entertainment,Jun 17,386,"$96,761"
195,My Old School,Magnolia Pictures,Jul 22,388,"$96,193"
196,Three Minutes: A Lengthening,,Aug 19,390,"$87,428"
197,Fortune Favors Lady Nikuko,GKIDS,Jun 2,392,"$87,363"
198,Only Fools Rush In,CMC Pictures,Feb 4,394,"$82,842"
199,All My Friends Hate Me,,Mar 11,396,"$80,405"
200,Aline,Roadside Attractions,Nov 26,398,"$80,046"
